short_name,player_positions,overall,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic
K. Diks,"RB, CB, LB",70,Right,3,3,Long Throw,75,56,63,68,67,75
J. Devecchi,GK,70,Right,2,1,"",,"",,"",,
G. Dobson,"CDM, CM",70,Right,4,2,"Long Ball Pass, Jockey, Block, Intercept, Slide Tackle",55,54,66,64,66,78
Diego González,CB,70,Left,3,2,Power Header,65,34,62,58,70,74
João Gamboa,"CDM, CM",70,Right,3,3,Long Ball Pass,65,58,65,65,68,75
A. Grgić,"CDM, CM",70,Right,3,3,Whipped Cross,62,68,74,67,64,74
G. Akkan,GK,70,Right,2,1,Footwork,"",,"",,"",
J. Van Cleemput,"CB, RWB, RB",70,Right,3,2,"",71,31,63,68,71,71
D. Baumgartner,"CB, RB",70,Right,2,2,Intercept,68,35,52,52,70,74
C. Ogbene,"CF, RWB",70,Right,4,3,"Rapid, Quick Step",91,65,63,71,57,74
K. Rowles,CB,70,Left,3,2,Block,66,24,46,44,71,76
R. Descamps,GK,70,Left,3,1,"",,"",,"",,
A. Quintana,GK,70,Left,2,1,"",,"",,"",,
I. Drešević,CB,70,Right,3,2,Block,48,48,60,66,70,77
G. Gómez,GK,70,Right,2,1,"",,"",,"",,
D. Johnsen,"ST, LW, RW",70,Right,3,4,"Pinged Pass, Technical, Flair",86,67,66,72,39,67
Ha Chang Rae,CB,70,Right,3,2,"Block, Anticipate, Slide Tackle, Bruiser, Aerial",49,33,46,48,69,76
D. Batubinsika,CB,70,Right,3,2,"",69,28,51,54,68,78
I. Šunjić,"CDM, CM",70,Right,3,2,Slide Tackle,61,57,58,63,70,76
V. Bayo,ST,70,Right,3,3,Power Header,76,70,54,67,25,77
F. Mallo,CB,70,Right,3,2,"",65,31,43,46,70,77
A. Cabeza,ST,70,Right,3,2,Aerial,75,67,58,67,34,72
J. Julio,"CAM, CM, LM",70,Right,3,3,Trickster,81,65,65,71,60,68
P. López,"CAM, CF",70,Right,3,4,"",74,63,68,78,38,48
Joel Pereira,RB,70,Right,3,2,"Long Ball Pass, Slide Tackle",73,41,67,67,64,66
N. Vasilj,GK,70,Right,3,1,"",,"",,"",,
Park Seung Wook,"RB, CB, LB",70,Right,4,3,"Long Ball Pass, Jockey",75,42,61,63,66,79
T. Kongolo,"CB, LB",70,Left,4,2,"Slide Tackle, Long Throw",60,42,59,63,70,69
K. Omeruo,CB,70,Right,3,2,Long Ball Pass,64,32,49,56,69,77
Ricardo Santos,CB,70,Right,3,2,"Power Header, Long Ball Pass, Jockey, Block, Bruiser, Aerial",67,39,45,49,69,86
N. Ioannou,"LB, LM",70,Left,3,2,Long Throw,71,54,61,67,66,74
I. Fossum,CM,70,Right,4,3,"Long Ball Pass, Press Proven, Relentless",69,68,67,71,64,74
W. Cuesta,GK,70,Right,2,1,Footwork,"",,"",,"",
J. Lumley,GK,70,Right,3,1,Far Throw,"",,"",,"",
J. Laurent,"CDM, CM, CAM",70,Right,3,3,"Rapid, Long Throw",77,60,61,68,68,84
J. Fernández,"CDM, CM",70,Right,3,2,"",67,54,61,66,67,76
I. Pussetto,ST,70,Right,4,3,Long Ball Pass,72,70,62,72,24,55
M. Malsa,"CDM, CM",70,Right,3,3,"Long Ball Pass, Flair",70,59,65,66,66,76
C. Bishop,ST,70,Right,3,3,Power Header,73,68,54,64,34,81
J. Ginnelly,"ST, RM, LM",70,Right,4,3,"Rapid, Quick Step",91,69,61,74,46,61
R. Bauer,"CB, RB, CDM",70,Right,2,2,"Slide Tackle, Long Throw",67,51,61,64,69,75
P. Pflücke,"LM, CM",70,Left,3,3,"Finesse Shot, Whipped Cross, Technical, Trivela",79,64,67,72,47,53
S. Wright,"RW, CAM, CF",70,Right,3,3,"Technical, Flair, Quick Step, Trivela",89,62,64,73,29,50
A. Collins,"ST, LW, CAM",70,Right,5,3,Rapid,81,68,65,71,35,75
C. Bedia,"ST, CF",70,Left,2,2,Power Header,73,68,54,67,33,78
K. Adams Nuhu,CB,70,Right,2,2,"Slide Tackle, Bruiser",62,42,55,55,67,82
L. Sosa,"CB, LB",70,Left,2,2,"",69,37,56,58,70,75
I. Mbenza,"ST, LM, RM",70,Right,4,3,"Rapid, Flair",80,70,70,70,38,66
Sergi Palencia,"RB, RWB, RM",70,Right,3,3,"Slide Tackle, Long Throw",73,56,60,69,67,73
V. Kovalenko,"CM, CAM",70,Right,4,3,"",68,70,70,73,57,71
J. Contreras,GK,70,Right,2,1,"",,"",,"",,
A. Ivan,"LW, LM, ST",70,Right,4,3,"Finesse Shot, Rapid, Flair",84,70,64,67,34,71
J. Horn,"LB, CB",70,Left,3,3,"",81,34,57,66,66,68
M. Honsak,"LM, CAM, RM",70,Left,4,3,"Rapid, Quick Step",86,64,62,70,50,71
K. Miyoshi,"RM, CAM, LM",70,Left,3,4,"Technical, Flair",75,67,69,75,46,47
A. Arias,"CM, CDM, CAM",70,Right,3,2,"",59,64,67,68,72,54
Y. Méïté,"ST, RM",70,Left,2,3,"Power Header, Rapid",79,70,56,64,48,82
Flavio,"CDM, CM, CAM",70,Right,3,2,"Block, Slide Tackle",67,54,62,64,68,74
Viti Rozada,"RM, LM",70,Right,3,3,"Rapid, Quick Step, Relentless",91,61,60,69,52,62
João Figueiredo,"ST, LM, RM",70,Right,2,3,"",71,69,60,70,25,68
J. Soñora,"CAM, CM, RM",70,Right,4,3,"Finesse Shot, Rapid",80,66,70,73,55,59
S. Cáseres,"CDM, CM",70,Right,3,3,"",62,53,66,68,63,77
Marc Gual,"ST, CF",70,Right,3,3,First Touch,78,71,56,70,21,64
A. Chatzigiovanis,"LM, RM",70,Right,4,3,Technical,76,64,67,71,36,60
T. Guidara,RB,70,Right,2,3,Anticipate,84,41,58,65,64,78
S. Kalu,"LM, RM, RW",70,Right,4,4,Technical,85,63,66,73,34,55
Y. Osorio,CB,70,Right,2,2,Block,55,31,44,51,69,78
A. Onaiwu,"ST, LW, RW",70,Right,3,3,Power Header,79,69,61,66,38,69
Lee Jin Hyun,"CM, RW",70,Left,3,4,"Finesse Shot, Pinged Pass, Technical",78,66,69,73,53,60
Lucas Possignolo,CB,70,Right,2,2,"Long Ball Pass, Jockey, Block, Aerial",50,37,46,50,70,75
Z. Arsenić,CB,70,Right,3,2,"Block, Intercept, Anticipate, Aerial",69,40,59,61,69,79
O. Bertel,LB,70,Left,3,2,"",82,41,53,61,67,61
N. Moreno,"RM, LM",70,Right,3,3,"",79,65,67,70,48,56
M. Dräger,"RB, RWB",70,Right,3,3,"",80,64,63,70,64,63
Igor Silva,"RB, RWB",70,Right,2,3,Rapid,75,54,63,72,66,64
A. Ghareeb,LM,70,Right,3,3,"Whipped Cross, Technical",84,63,63,75,25,55
D. Afolayan,"LM, CF",70,Right,4,3,"Technical, Flair",81,66,62,71,48,69
S. Moharrami,"RB, RM, RWB",70,Right,2,3,Rapid,83,30,57,66,65,58
F. El Melali,"RM, RWB",70,Right,3,3,"Technical, First Touch",71,61,62,78,50,37
L. Dykes,ST,70,Right,3,2,Long Throw,68,68,52,65,29,82
Sergio Ruiz,"CDM, CM",70,Right,3,2,"",62,62,64,68,66,71
Guima,"CM, CDM",70,Right,3,3,Flair,69,63,63,68,66,74
D. García,"LM, LW, CAM",70,Right,3,3,Trickster,75,57,69,73,49,46
Bermejo,RM,70,Left,2,3,"Dead Ball, Pinged Pass, Whipped Cross, Technical",78,58,68,76,41,55
G. Corujo,CB,70,Right,2,2,"Long Ball Pass, Slide Tackle",68,35,46,46,72,73
J. Ortiz,"CM, CDM, CB",70,Right,3,3,"Press Proven, Relentless",72,68,67,70,66,77
T. Kaneko,"RW, CF",70,Left,3,3,"",77,69,65,71,54,65
Leonai,"CDM, CM",70,Right,3,2,"",63,62,62,66,71,73
Alkain,"RM, ST",70,Right,3,3,"Technical, Trivela",79,70,61,74,26,54
A. Ndao,RM,70,Right,2,3,Rapid,80,62,64,73,31,54
A. Preciado,"RM, LM, RB",70,Right,3,3,Rapid,89,55,63,69,49,47
G. Sibilli,"CF, LW, CAM",70,Right,3,3,"",77,65,65,74,34,66
M. Sherif,ST,70,Left,5,2,Rapid,82,68,58,71,40,68
S. Magomedaliyev,GK,70,Right,2,1,"",,"",,"",,
R. Santa Cruz,ST,70,Right,3,3,"Power Header, Aerial",33,74,59,62,36,64
V. Di Cesare,CB,70,Right,3,2 ,"slide tackle",34,47,33,55,72,71
M. Barovero,GK,70,Right,3,1,Far Throw,"",,"",,"",
Mikel Rico,"CM, CDM",70,Right,3,2,"",38,68,66,66,71,72
J. Sand,ST,70,Right,4,3,Finesse Shot,45,75,59,64,37,64
Lee Chung Yong,"LM, RM, CAM",70,Right,4,4,"Pinged Pass, Incisive Pass, Tiki Taka, Technical, First Touch",70,56,73,73,52,55
J. Ménez,"CF, ST, LW",70,Right,4,4,"Flair, Trivela",63,72,70,74,31,51
B. Sharp,ST,70,Right,3,2,Finesse Shot,53,74,62,63,39,66
J. Dahlin,GK,70,Right,3,1,"",,"",,"",,
José Crespo,"CB, RB, LB",70,Right,3,2,"",62,40,63,61,71,71
F. Dionisi,"ST, RW",70,Right,3,3,Slide Tackle,80,72,50,69,35,67
Tomané,"ST, CF",70,Right,3,2,Trivela,62,72,55,64,29,81
K. Kamara,ST,70,Right,3,3,Power Header,68,69,63,68,39,73
D. McCarty,"CDM, CM",70,Right,3,3,"",43,54,63,63,67,73
D. Chyhrynskyi,CB,70,Right,3,2,Long Ball Pass,39,39,59,44,73,64
L. Burián,GK,70,Right,3,1,"",,"",,"",,
M. Berg,ST,70,Right,4,3,"",65,70,63,68,35,68
F. Lustenberger,CB,70,Right,3,2,"",36,37,58,61,73,68
T. Sippel,GK,70,Right,2,1,"",,"",,"",,
A. Jędrzejczyk,CB,70,Right,3,2,"Bruiser, Long Throw",52,48,57,59,68,80
T. Mangani,"CDM, CM",70,Left,3,3,"Long Ball Pass, Trivela",35,66,71,68,67,67
R. Hennings,ST,70,Left,3,3,Power Shot,54,74,61,65,39,72
H. Al Haydos,"RM, CAM, CM",70,Right,3,3,"Chip Shot, Technical",76,65,68,74,34,43
J. O'Shea,"CM, CAM",70,Right,4,3,"Long Ball Pass, Press Proven",60,65,72,72,56,71
M. Moreno Martins,ST,70,Right,4,3,"Chip Shot, Power Header, Press Proven",51,74,63,66,35,80
M. Tekdemir,"CDM, CM",70,Right,3,2,Press Proven,51,59,63,67,71,68
W. Gargano,"CDM, CM",70,Right,3,2,Long Ball Pass,60,55,72,57,70,67
J. Howson,"CM, CDM",70,Right,3,3,First Touch,54,68,68,68,69,70
R. Tesche,"CM, CDM",70,Right,4,2,"",52,66,69,69,68,71
M. Kelly,"CB, RB",70,Right,3,2,"",35,44,59,61,71,64
M. Dreyer,GK,70,Right,3,1,"",,"",,"",,
L. Pratto,"ST, CAM",70,Right,3,3,"Slide Tackle, Flair",53,70,69,69,55,77
T. Pekhart,ST,70,Right,3,2,Power Header,59,71,54,57,33,77
M. Kramer,ST,70,Right,3,2,Power Header,54,69,57,59,38,74
C. Evans,ST,70,Right,3,2,"",60,71,58,67,40,79
K. Bartley,CB,70,Right,3,2,Bruiser,49,29,49,48,69,80
R. Neustädter,"CB, CDM",70,Right,4,2,Long Ball Pass,33,52,64,61,71,73
Kiko Olivas,CB,70,Right,3,2,Intercept,46,49,58,58,71,72
C. Villanueva,"CAM, CM",70,Left,3,4,"Pinged Pass, Trivela",54,68,72,74,49,47
V. Babacan,GK,70,Right,2,1,"",,"",,"",,
L. Négo,"RB, RWB",70,Right,3,3,Rapid,80,67,68,69,63,66
M. Samassa,GK,70,Right,1,1,"",,"",,"",,
A. Hansen,GK,70,Right,3,1,Far Throw,"",,"",,"",
R. Gabrielsen,CB,70,Right,2,2,"Power Header, Jockey",66,48,48,53,69,84
U. Dávila,"CAM, CM, RM",70,Left,4,4,"Tiki Taka, Technical, Flair",73,71,67,75,50,61
V. Pálsson,"CDM, CB",70,Right,3,2,"Power Header, Slide Tackle",72,56,58,60,71,79
H. Nielsen,"CAM, ST",70,Right,4,3,Aerial,68,70,67,70,46,75
S. Johnson,GK,70,Right,2,1,"",,"",,"",,
K. Hansen,CB,70,Right,3,2,Long Ball Pass,53,46,61,57,70,71
S. Corchia,"RB, RWB",70,Right,3,3,"",66,62,69,69,69,53
L. Chichizola,GK,70,Right,3,1,"",,"",,"",,
N. Hult,LB,70,Left,3,3,"",70,59,67,71,65,63
D. Ginczek,ST,70,Right,4,3,"",66,71,51,64,38,75
Fontàs,CB,70,Left,3,2,"",30,48,67,61,70,74
E. Stevens,"LB, LWB",70,Left,2,3,"",65,45,64,69,66,71
Y. Mallı,"CAM, CF, CM",70,Right,4,4,Technical,68,66,71,72,33,50
Marc Mateu,"LM, LB",70,Left,3,3,"Dead Ball, Whipped Cross, Flair, Long Throw",63,71,71,70,64,68
R. Nouri,"RM, LM",70,Right,3,4,"Technical, Flair, First Touch",63,72,71,75,31,54
I. Pillud,RB,70,Right,2,2,"",63,58,65,63,69,73
Roderick Miranda,CB,70,Right,2,2,"Long Ball Pass, Bruiser",36,36,52,52,68,83
M. Pink,ST,70,Right,3,2,"Power Shot, Aerial",52,70,55,64,28,79
A. Gray,ST,70,Right,3,3,"",79,70,61,68,30,71
K. Long,CB,70,Right,2,2,Aerial,48,35,50,55,70,70
A. Quintero,"LM, RM, ST",70,Right,3,4,"",83,67,64,71,20,60
S. Ilsanker,"CB, CDM",70,Right,3,2,"Slide Tackle, Long Throw",52,53,50,50,70,78
Borja Bastón,ST,70,Right,4,3,Power Header,44,72,65,66,37,80
D. Batth,CB,70,Right,2,2,Bruiser,30,23,41,38,71,81
A. Corzo,"CB, RWB",70,Right,3,2,"",67,51,62,63,70,71
Í. Ávila,"ST, RW, RM",70,Right,3,3,"",66,74,61,72,33,59
Ignasi Miquel,CB,70,Left,3,2,"",53,35,56,59,70,72
D. Alibec,ST,70,Left,3,4,"Finesse Shot, Technical, Flair, First Touch",69,73,68,71,24,78
M. Bourabia,"CM, CDM",70,Right,3,3,Pinged Pass,58,60,69,70,65,64
R. Maiello,"CM, CDM",70,Right,3,3,"Long Ball Pass, Anticipate",69,61,67,73,57,65
S. Clark,GK,70,Right,4,1,Footwork,"",,"",,"",
G. Castellani,"CAM, CM, CDM",70,Right,2,4,Technical,64,65,73,71,56,75
S. Tecl,ST,70,Right,3,3,"",74,66,63,68,39,75
J. Drmić,ST,70,Right,4,3,"",73,72,64,68,38,69
S. Romagnoli,CB,70,Right,2,2,"",55,40,47,55,70,77
Marcelo Carné,GK,70,Right,2,1,"",,"",,"",,
J. Mensah,CB,70,Right,3,2,Power Header,61,46,56,54,69,80
A. Caracciolo,CB,70,Right,3,2,"Power Header, Jockey, Bruiser",54,32,49,62,70,75
Hong Chul,"LWB, LB",70,Left,3,3,"Finesse Shot, Dead Ball, Whipped Cross",84,50,65,68,63,70
Diego Mariño,GK,70,Right,2,1,"",,"",,"",,
C. Deac,"CM, RM",70,Left,4,3,"Finesse Shot, Pinged Pass, Technical, Relentless",68,66,73,68,57,72
K. Çörekçi,RB,70,Right,3,3,"",81,49,65,69,65,69
D. Batz,GK,70,Right,2,1,"",,"",,"",,
Timor,"CM, CB",70,Left,3,3,"Power Shot, Dead Ball, Long Ball Pass",34,66,71,66,67,75
F. Brown Forbes,ST,70,Right,3,3,Finesse Shot,81,67,56,63,44,83
N. Larsen,GK,70,Right,2,1,Far Throw,"",,"",,"",
G. Burdisso,CB,70,Right,3,2,"Power Header, Bruiser",36,42,54,49,69,75
R. Leonard,"CDM, RWB, CM",70,Right,3,3,"Block, Rapid, Long Throw",73,65,65,67,67,78
A. Davies,GK,70,Right,3,1,"",,"",,"",,
F. Ogier,CB,70,Right,3,2,"Power Header, Anticipate",31,34,41,52,72,74
L. Carole,LB,70,Left,2,2,"",73,42,62,67,68,74
N. De Préville,ST,70,Right,3,3,"",76,72,69,71,39,68
N. Powell,"CAM, CM, ST",70,Right,4,3,Slide Tackle,65,69,69,71,54,68
T. Kalas,CB,70,Right,3,2,"Slide Tackle, Long Throw",66,47,56,63,70,76
M. Colin,"RB, RWB, CB",70,Right,4,3,"",70,43,63,65,68,72
F. Sørensen,CB,70,Right,3,2,"Long Ball Pass, Intercept, Bruiser, Long Throw, Aerial",51,33,61,59,69,79
M. Capuano,CB,70,Left,2,2,"Block, Intercept, Anticipate",62,33,49,57,70,80
M. Dæhli,"CAM, CM, LW",70,Right,3,3,"Technical, Flair, First Touch, Relentless",67,53,65,78,36,61
R. Brady,"LWB, CM",70,Left,4,4,"Long Ball Pass, Whipped Cross",63,66,75,71,64,65
D. Johnson,"CAM, CM",70,Left,3,3,Finesse Shot,72,68,70,71,54,64
D. Fagundez,"LM, RM, CAM",70,Right,3,4,Technical,74,64,69,74,39,61
M. Camporese,CB,70,Right,3,2,"Power Header, Jockey",68,30,38,53,72,72
G. Wikheim,LW,70,Right,3,4,"Technical, Flair",86,60,63,74,44,55
A. Morales,"CDM, CM, CB",70,Right,3,3,"",54,58,67,66,66,78
T. Chandler,"RM, RWB",70,Right,4,2,"",46,69,72,68,72,76
A. Diaby,"RM, LM, ST",70,Left,2,3,Rapid,83,69,66,72,37,56
F. Uribe,ST,70,Right,4,3,"Finesse Shot, Power Header",71,71,55,66,27,69
D. Bisoli,"CM, CDM",70,Right,4,3,Relentless,71,69,68,70,68,68
Álex Martínez,LB,70,Left,3,3,"Rapid, Relentless",75,59,65,69,63,67
J. Risdon,RB,70,Right,3,3,Relentless,73,49,60,65,67,80
J. Newell,"CM, CDM",70,Left,2,3,"Finesse Shot, Dead Ball, Long Ball Pass, Press Proven, Long Throw",57,60,71,69,64,75
A. Schwolow,GK,70,Right,3,1,"",,"",,"",,
Kim Kee Hee,"CB, RB",70,Right,3,2,"Block, Aerial",60,43,58,50,69,77
R. Jansson,CB,70,Left,3,2,"",48,28,53,59,70,75
B. Assombalonga,"ST, LW",70,Right,3,3,Rapid,80,68,59,67,35,74
J. Bryan,"LB, LWB",70,Left,4,3,"",74,60,68,68,67,71
A. Donnarumma,ST,70,Right,3,3,"Finesse Shot, Technical",77,71,59,70,36,62
G. Courtet,ST,70,Right,3,3,"",61,71,63,69,27,68
A. Benali,"CM, CF, CDM",70,Right,2,4,Flair,76,63,68,75,44,63
F. Gutiérrez,"CM, CAM",70,Left,3,3,Flair,65,68,72,73,59,62
R. Windbichler,"CB, CDM",70,Right,3,2,"Jockey, Anticipate, Aerial",64,39,54,55,69,75
C. Sørensen,LB,70,Left,3,3,"Power Shot, Incisive Pass, Whipped Cross, Long Throw",76,62,70,69,61,70
D. Lezcano,ST,70,Right,4,3,"Power Header, Technical",75,70,67,70,50,79
M. Bettinelli,GK,70,Right,3,1,"",,"",,"",,
G. Saville,"CM, CDM",70,Left,3,3,"",63,66,69,69,68,73
T. Leistner,CB,70,Right,3,2,Long Ball Pass,47,40,55,49,71,78
Vadillo,"LM, ST, RM",70,Right,3,4,"Technical, Flair, Quick Step, Trivela",83,67,66,72,34,54
P. Klement,"CAM, CM",70,Left,2,3,"Dead Ball, Pinged Pass, Long Ball Pass, Whipped Cross, Trivela",65,67,73,72,40,52
Choi Young Joon,"CDM, CM",70,Right,3,2,"Intercept, Anticipate, Press Proven, Relentless",63,57,64,65,66,77
O. Lewicki,"CDM, CM, CB",70,Right,3,2,"Long Ball Pass, Tiki Taka, Slide Tackle",59,55,60,66,70,75
Igor Rossi,CB,70,Left,2,2,"Power Header, Long Ball Pass",40,30,54,53,70,80
Djaniny,"ST, LW, RW",70,Right,4,4,"",79,70,66,70,35,76
L. Ceppitelli,CB,70,Right,3,2,"Jockey, Slide Tackle",52,40,43,50,71,70
Dener,"CM, CDM",70,Right,3,3,"Power Header, Bruiser",63,67,67,69,69,79
A. Ring,"CB, CDM",70,Right,3,2,"Long Ball Pass, Jockey, Slide Tackle",68,66,68,72,69,78
O. Bulut,"RB, RM",70,Right,4,3,Whipped Cross,77,59,69,70,64,72
B. Uphoff,GK,70,Right,2,1,"",,"",,"",,
S. Sabelli,"RB, RM, RWB",70,Right,3,3,Long Throw,74,39,59,61,66,69
J. Dudziak,"CAM, LB",70,Left,3,3,"Technical, Flair",73,61,70,75,63,65
C. Robinson,"ST, LM",70,Right,3,3,"",79,70,65,74,32,63
M. Hedges,CB,70,Right,3,2,"",38,28,50,52,68,83
Insua,CB,70,Right,3,2,Anticipate,45,37,54,53,71,69
M. Barrow,"RM, LM",70,Left,2,4,"Rapid, Quick Step",92,63,61,72,37,57
E. Durm,"RB, LB",70,Right,3,2,"Jockey, Anticipate",75,55,62,65,66,67
A. Linde,GK,70,Right,2,1,Far Throw,"",,"",,"",
S. Ajayi,CB,70,Right,2,2,"",71,48,47,59,69,79
M. Pearson,"CB, RB",70,Right,3,2,Power Header,55,43,50,54,70,77
Ju Se Jong,"CM, CDM",70,Right,4,3,"Dead Ball, Pinged Pass, Long Ball Pass, Anticipate",58,54,73,68,63,69
Sergi Samper,"CDM, CM",70,Right,3,2,Long Ball Pass,41,43,66,66,66,68
M. Eriksson,CM,70,Left,3,3,Finesse Shot,47,66,75,67,54,78
R. Quaison,"CF, ST, LM",70,Right,3,3,Technical,69,70,65,73,44,70
Chow Tim,CM,70,Right,3,3,"Long Ball Pass, Relentless",72,63,68,69,68,75
Z. Bytyqi,"LM, RM, LW",70,Right,3,4,"Finesse Shot, Technical",77,67,67,72,37,69
M. Delgado,"CDM, CM",70,Right,2,3,"",67,52,64,66,65,70
Rober Correa,"RB, CB",70,Right,3,2,Block,75,43,58,63,67,77
Andy,"CM, CDM",70,Left,3,2,Press Proven,53,68,70,68,67,74
S. Hedlund,"RW, ST",70,Right,4,3,"Rapid, Quick Step",88,60,65,69,29,66
P. Ziereis,CB,70,Right,3,2,Jockey,61,24,57,57,70,75
B. Finne,"ST, RW",70,Right,3,3,"",77,70,61,71,27,64
K. Haugen,LWB,70,Left,3,3,Finesse Shot,77,60,65,65,62,71
R. Murawski,"CDM, CM",70,Right,3,3,"Tiki Taka, Jockey",76,57,65,69,65,72
P. Iemmello,ST,70,Right,3,3,"",79,70,55,70,22,66
Mattheus Oliveira,"CAM, CM",70,Left,4,3,"",64,67,72,71,55,55
Gustavo Henrique,CB,70,Right,2,2,Aerial,45,34,48,56,71,76
Lucas João,ST,70,Right,4,4,"Technical, Flair",68,72,61,70,26,65
E. Marcondes,"CAM, CM",70,Right,3,3,"",72,68,68,71,42,65
A. Rømer,"CDM, CM",70,Right,3,2,"Intercept, Relentless",64,56,64,66,67,78
H. Kadish,"CB, LB",70,Left,3,2,Power Header,75,49,61,62,69,79
José Mari,"CDM, CM",70,Right,3,2,"",55,59,66,63,67,66
E. Flores,"CAM, CF, LM",70,Left,3,4,"Technical, Flair, Trickster",75,66,67,74,36,57
J. Lopez,"LM, CAM, ST",70,Right,2,3,"",82,64,65,72,42,62
E. Saveljich,CB,70,Right,3,2,"",36,32,47,44,69,80
M. Fofana,"LM, RM, CF",70,Right,3,4,Rapid,87,65,61,75,26,58
J. Lowe,"ST, LM, RM",70,Right,4,4,"Finesse Shot, Rapid, Flair, Trivela",85,68,60,73,40,70
T. Boyd,"LM, RM",70,Right,4,3,"Rapid, Trivela",85,69,63,73,48,64
R. Leipertz,"ST, RM, CAM",70,Left,4,3,"Rapid, Relentless",76,71,65,70,35,75
Reis,"LW, RW",70,Right,4,4,"Finesse Shot, Dead Ball, Pinged Pass, Technical",81,66,63,74,33,52
A. Voglsammer,"ST, LM",70,Right,3,3,Power Header,76,69,66,69,43,78
R. Berić,ST,70,Right,3,3,"",56,71,63,66,37,77
K. Karaman,"RW, LW, ST",70,Right,3,3,Aerial,77,67,64,70,27,69
C. O'Dowda,"LM, LW, LB",70,Left,3,3,Rapid,82,60,65,70,51,65
G. Zardes,ST,70,Right,5,3,"",82,69,53,67,44,75
C. Malele,ST,70,Right,4,2,Rapid,84,69,47,66,33,82
D. Yedlin,"RB, RWB",70,Right,2,2,Block,85,50,58,65,65,72
W. Cyprien,"CM, CDM",70,Right,3,3,"",64,69,71,72,68,73
L. Öztunalı,"CAM, RW, LW",70,Right,3,3,"",74,67,68,73,48,67
I. Tajouri-Shradi,"RM, RW, LW",70,Left,4,3,"Finesse Shot, Rapid, Flair",82,70,63,72,33,56
Bressan,"CB, RB",70,Right,2,2,"Long Ball Pass, Block, Intercept, Bruiser",65,38,52,52,69,75
F. Tobio,CB,70,Right,2,2,Power Header,49,30,53,46,69,79
S. Gustafson,"CM, CAM",70,Left,3,3,Finesse Shot,60,71,71,69,54,72
Camacho,"LW, RW, LM",70,Right,3,4,"",78,67,65,75,33,59
K. Sema,"LM, LW",70,Left,3,3,Rapid,78,65,68,71,60,68
R. Schüller,"CDM, CM",70,Left,3,3,Long Ball Pass,46,55,64,64,70,70
S. Gallagher,"ST, RM",70,Right,3,3,Power Header,69,69,58,66,45,76
D. Biraschi,"RB, CB",70,Right,2,2,Intercept,61,36,60,68,72,69
D. Rodríguez,"CDM, CM",70,Right,3,2,"",64,56,66,67,67,70
F. Forte,ST,70,Left,3,2,"",53,72,62,67,32,72
J. Arias,"CB, LB",70,Left,3,2,"Slide Tackle, Bruiser",76,48,60,60,68,81
J. Zuluaga,"CM, RM, LM",70,Right,3,3,"Whipped Cross, Relentless",78,58,65,69,65,68
V. Hernández,"LM, CAM, RM",70,Right,3,4,Technical,79,67,67,72,34,41
R. Carrascal,"CM, CDM",70,Right,3,2,Long Ball Pass,66,63,70,65,65,73
R. Ureña,"CDM, CM",70,Right,3,2,"Long Ball Pass, Jockey, Anticipate",58,60,62,65,67,74
A. Ricaurte,"CAM, CDM, CM",70,Left,4,4,"Long Ball Pass, Tiki Taka, Press Proven, Trivela",55,58,74,69,56,65
S. Pérez,"CM, CDM",70,Right,3,3,"Long Ball Pass, Slide Tackle, Press Proven",68,59,62,67,65,69
J. Duque,ST,70,Right,2,3,"",60,73,57,67,27,67
N. Pasquini,"LB, LM, CM",70,Left,2,3,"",75,59,72,63,65,71
L. Benegas,"ST, LW",70,Left,4,3,Power Header,67,68,63,68,40,81
A. Hughes,"CB, LWB, LB",70,Left,2,2,"",62,42,62,61,70,76
M. Kranevitter,"CDM, CM",70,Right,3,3,"",67,48,64,65,67,74
D. Braghieri,CB,70,Left,2,2,Slide Tackle,57,48,49,54,69,78
H. Orzán,"CDM, CM, CB",70,Right,3,3,"Long Ball Pass, Anticipate",83,56,70,70,64,73
E. Insua,LB,70,Left,2,3,Bruiser,75,54,58,64,67,74
M. Bíttolo,LM,70,Left,2,3,Long Throw,75,48,68,69,67,64
F. Angileri,"LB, LWB",70,Left,3,3,"Whipped Cross, Rapid",77,71,69,69,65,80
A. Hunou,"ST, CM",70,Right,3,3,Finesse Shot,71,69,69,72,52,69
L. Jara,RB,70,Right,3,3,"",61,54,65,65,67,80
C. Auzqui,"CAM, RW, RM",70,Right,3,3,Finesse Shot,77,68,70,70,52,77
G. Carrillo,ST,70,Right,3,3,"Power Header, Aerial",42,72,54,68,38,76
M. Meli,"CM, RM",70,Right,3,3,"",75,61,66,68,66,74
Maikel Mesa,"CM, CAM",70,Right,3,3,Flair,70,71,68,71,65,78
Filipe Ferreira,"LB, LWB, CB",70,Left,3,3,"",69,53,65,68,65,66
A. Hatem,"CM, CDM",70,Left,5,3,Power Shot,59,67,70,68,61,70
F. Monetti,GK,70,Right,3,1,"",,"",,"",,
D. Musto,"CDM, CM",70,Right,3,2 ,"slide tackle",40,49,60,58,71,76
B. Vriends,CB,70,Right,3,2,"Power Header, Long Ball Pass, Aerial",56,32,48,47,70,79
A. Browne,"CM, CAM, RWB",70,Right,4,3,Relentless,73,68,68,71,66,78
A. Baroja,GK,70,Right,3,1,Footwork,"",,"",,"",
E. Triverio,ST,70,Right,4,3,Aerial,40,73,55,67,30,74
